Assembly,Partners,PartnerWeight,EdgeWeight,Predecessor,Successor
ASSY - SUNSWIFT PHONE APP,Sunswift,0,12,"ASSY - TELEMETRY, ASSY - HMI, ASSY - INFOTAINMENT, ASSY - BLUETOOTH CONNECTIVITY, ASSY - APPLE & ANDROID COMPATABILITY",N/A
ASSY - INTRANET,Sunswift,0,0,N/A,N/A
ASSY - DRIVE CONTROL UNIT SOFTWARE,Sunswift,0,12,ASSY - DRIVE CONTROL UNIT,N/A
ASSY - HEADLAMP/INDICATOR PCB - LH - CODE,Sunswift,0,3,N/A,N/A
ASSY - HEADLAMP/INDICATOR PCB - RH - CODE,Sunswift,0,3,N/A,N/A
ASSY - TAILLIGHT/INDICATOR PCB - LH - CODE,Sunswift,0,3,N/A,N/A
ASSY - TAILLIGHT/INDICATOR PCB - RH - CODE,Sunswift,0,3,N/A,N/A
ASSY -  HORN PCB CODE,Sunswift,0,2,N/A,N/A
ASSY - MAIN COMPUTER,Adlink,8,1,ASSY - OCCUPANT CELL TUB,ASSY - INTERNAL EMBEDDED NETWORK WIRING
ASSY - STEERING WHEEL PCB CODE,Sunswift,0,4,ASSY - STEERING WHEEL PCB,N/A
ASSY - INTERIOR LIGHTS PCB CODE,Sunswift,0,3,N/A,N/A
ASSY - DOOR CONTROL BOARD - LH - CODE,Sunswift,0,3,ASSY - DOOR CONTROL BOARD - LH,N/A
ASSY - DOOR CONTROL BOARD - RH - CODE,Sunswift,0,3,ASSY - DOOR CONTROL BOARD - RH,N/A
ASSY - WINDSCREEN WIPER CONTROL PCB CODE,Sunswift,0,4,N/A,N/A
ASSY - EMBEDDED HIGH LEVEL SOFTWARE ,Sunswift,0,12,ASSY - MAIN COMPUTER,N/A
ASSY - SIDE INDICATOR - LH,Sunswift,0,4,N/A,ASSY - SIDE CAMERA - LH
ASSY - SIDE INDICATOR - RH,Sunswift,0,4,N/A,ASSY - SIDE CAMERA - RH
ASSY - ABS BRAKES CONTROL SYSTEM,Bosch,12,4,"ASSY - EMBEDDED HIGH LEVEL SOFTWARE, ASSY - DRIVE CONTROL UNIT ",N/A
ASSY - TAILLIGHT/INDICATOR STOP LAMP - LH,Sunswift,0,6,N/A,"ASSY - TAILLIGHT/INDICATOR EXTERIOR- LH
ASSY - TAILLIGHT/INDICATOR EXTERIOR- RH"
ASSY - TAILLIGHT/INDICATOR STOP LAMP - RH,Sunswift,0,6,N/A,"ASSY - TAILLIGHT/INDICATOR EXTERIOR- LH
ASSY - TAILLIGHT/INDICATOR EXTERIOR- RH"
ASSY - TAILLIGHT/INDICATOR INDICATOR LAMPS - LH,Sunswift,0,7,N/A,"ASSY - TAILLIGHT/INDICATOR EXTERIOR- LH
ASSY - TAILLIGHT/INDICATOR EXTERIOR- RH"
ASSY - TAILLIGHT/INDICATOR INDICATOR LAMPS - RH,Sunswift,0,8,N/A,"ASSY - TAILLIGHT/INDICATOR EXTERIOR- LH
ASSY - TAILLIGHT/INDICATOR EXTERIOR- RH"
ASSY - TAILLIGHT/INDICATOR RUNNING LIGHTS ,Sunswift,0,9,N/A,"ASSY - TAILLIGHT/INDICATOR EXTERIOR- LH
ASSY - TAILLIGHT/INDICATOR EXTERIOR- RH"
ASSY - TAILLIGHT/INDICATOR REVERSE LAMP - LH,Sunswift,0,10,N/A,"ASSY - TAILLIGHT/INDICATOR EXTERIOR- LH
ASSY - TAILLIGHT/INDICATOR EXTERIOR- RH"
ASSY - TAILLIGHT/INDICATOR REVERSE LAMP - RH,Sunswift,0,11,N/A,"ASSY - TAILLIGHT/INDICATOR EXTERIOR- LH
ASSY - TAILLIGHT/INDICATOR EXTERIOR- RH"
