Assembly,Partners,PartnerWeight,EdgeWeight,Predecessor,Successor
ASSY - FRONT SEAT BELT DRIVER,Unknown,1,1,ASSY - FRONT SEAT DRIVER,"ASSY - OCCUPANT CELL TUB, ASSY - OCCUPANT CELL SPIDER"
ASSY - FRONT SEATBELT PASSENGER,Unknown,0,1,"ASSY - OCCUPANT CELL TUB, ASSY - OCCUPANT CELL SPIDER, ASSY - FRONT SEAT PASSENGER","ASSY - OCCUPANT CELL TUB, ASSY - OCCUPANT CELL SPIDER"
ASSY - MOTOR UNIT - LH,Schaeffler,0,2,N/A,"ASSY - OCCUPANT CELL TUB, ASSY - CHASSIS SUBFRAME, ASSY - MOTOR MOUNTING FRAME, ASSY - INVERTER, ASSY - INVERTER MOUNTING FRAME, ASSY - PWT HV WIRING, ASSY - GEARBOX, ASSY - CV AXLES, ASSY - ENERGY CONTROL SYSTEM, ASSY - FUEL CELL COOLING SYSTEM, ASSY - HYDROGEN STORAGE SYSTEM"
ASSY - MOTOR UNIT - RH,Schaeffler,0,2,N/A,"ASSY - OCCUPANT CELL TUB, ASSY - CHASSIS SUBFRAME, ASSY - MOTOR MOUNTING FRAME, ASSY - INVERTER, ASSY - INVERTER MOUNTING FRAME, ASSY - PWT HV WIRING, ASSY - GEARBOX, ASSY - CV AXLES, ASSY - ENERGY CONTROL SYSTEM, ASSY - FUEL CELL COOLING SYSTEM, ASSY - HYDROGEN STORAGE SYSTEM"
ASSY - MOTOR MOUNTING FRAME - LH,Sunswift,0,4,ASSY - MOTOR UNIT - LH,N/A
ASSY - MOTOR MOUNTING FRAME - RH,Sunswift,0,4,ASSY - MOTOR UNIT - RH,N/A
ASSY - INVERTER - LH,Schaeffler,0,2,ASSY - MOTOR UNIT - LH,"ASSY - FUEL CELL COOLING SYSTEM, ASSY - HYDROGEN STORAGE SYSTEM"
ASSY - INVERTER - RH,Schaeffler,0,2,ASSY - MOTOR UNIT - RH,"ASSY - FUEL CELL COOLING SYSTEM, ASSY - HYDROGEN STORAGE SYSTEM"
ASSY - INVERTER MOUNTING FRAME - LH,Sunswift ,0,4,"ASSY - MOTOR UNIT - LH, ASSY - INVERTER - LH",N/A
ASSY - INVERTER MOUNTING FRAME - RH,Sunswift ,0,4,"ASSY - MOTOR UNIT - RH, ASSY - INVERTER - RH",N/A
ASSY - PWT HV WRING - LH,Unknown,4,2,"ASSY - MOTOR UNIT - LH, ASSY - INVERTER - LH",N/A
ASSY - PWT HV WIRING - RH,Unknown,4,2,"ASSY - MOTOR UNIT - RH, ASSY - INVERTER - RH",N/A
ASSY - GEARBOX - LH,Ricardo,8,3,ASSY - MOTOR UNIT - LH,"ASSY - OCCUPANT CELL TUB, ASSY - CHASSIS SUBFRAME, ASSY - CV AXLES"
ASSY - GEARBOX - RH,Ricardo,8,3,ASSY - MOTOR UNIT - RH,"ASSY - OCCUPANT CELL TUB, ASSY - CHASSIS SUBFRAME, ASSY - CV AXLES"
ASSY - AXLE CV - LH,Ricardo,8,3,"ASSY - MOTOR UNIT - LH, ASSY - GEARBOX - RH","ASSY - OCCUPANT CELL TUB, ASSY - CHASSIS SUBFRAME, ASSY - CV AXLES"
ASSY - AXLE CV - RH,Ricardo,8,3,"ASSY - MOTOR UNIT - RH, ASSY - GEARBOX - RH","ASSY - OCCUPANT CELL TUB, ASSY - CHASSIS SUBFRAME, ASSY - CV AXLES"
ASSY - BATTERY MODULES,Sunswift,0,4,N/A,ASSY - BATTERY PACK
ASSY - BATTERY PACK,Sunswift,0,2,ASSY - BATTERY MODULES,"ASSY - BMS WIRING, ASSY - BATTERY HV WIRING, ASSY - BATTERY LV WIRING"
ASSY - BMS WIRING,Sunswift,0,3,ASSY - BATTERY PACK,ASSY - CONTROL LOGIC
ASSY - BATTERY HV WIRING,Sunswift,0,2,ASSY - BATTERY PACK,N/A
ASSY - BATTERY LV WIRING,Sunswift,0,2,ASSY - BATTERY PACK,N/A
ASSY - AUXILLARY POWER WIRING,Sunswift,0,2,ASSY - AUX BATTERY,N/A
ASSY - DC-DC CONVERTERS,Sunswift,0,2,ASSY - AUX BATTERY,N/A
ASSY - AUX BATTERY,Sunswift,0,2,N/A,"ASSY - DC-DC CONVERTERS, ASSY - AUXILLARY POWER WIRING"
ASSY - ECS HV WIRING,Sunswift,0,2,ASSY - BATTERY PACK,N/A
ASSY - ECS LV WIRING,Sunswift,0,2,ASSY - BATTERY PACK,N/A
ASSY - CONTROL LOGIC,Sunswift,0,3,"ASSY - ECS HV WIRING, ASSY - ECS LV WIRING,",N/A
ASSY - ECS MODULE,Sunswift,0,3,N/A,"ASSY - ECS HV WIRING, ASSY - ECS LV WIRING, ASSY - CONTROL LOGIC"
ASSY - ONBOARD CHARGING WIRING,Sunswift,0,2,ASSY - ONBOARD CHARGING INSTALLATION,N/A
ASSY - ONBOARD CHARGER INSTALLATION,Sunswift,0,3,N/A,ASSY - ONBOARD CHARGER WIRING
ASSY - MPPT JUNCTION BOX,Sunswift,0,2,ASSY - MPPT ,"ASSY - ECS HV WIRING, ASSY - CONTROL LOGIC"
ASSY - MPPT,Sunswift,0,4,"ASSY - SOLAR Roof array, ASSY - SOLAR boot array, ASSY - SOLAR bonnet array, ASSY - Shingled Matrix Panels",ASSY-occupant cell spider
ASSY - SOLAR ROOF ARRAY,"Sundrive, Corning, McConaghy, REOO",4,8,N/A,"ASSY-occupant cell spider, ASSY - occupant cell tub, ASSY-ceiling, ASSY-MPPT, ASSY-MC4 Cabling"
ASSY - SOLAR BOOT ARRAY,"Sundrive, Corning, McConaghy, REOO",4,8,N/A,"ASSY-boot, ASSY-MPPT, ASSY-MC4 Cabling"
ASSY - SOLAR BONNET ARRAY,"Sundrive, Corning, McConaghy, REOO",4,8,N/A,"ASSY-bonnet, ASSY-MPPT, ASSY-MC4 Cabling"
ASSY - MC4 Cabling,Sunswift,0,4,"ASSY- solar boot array, ASSY- Solar bonnet array, ASSY- Solar roof array, ASSY- Shingled Matrix Panels, ","ASSY- Occupant cell spider, ASSY- boot, ASSY- Bonnet, ASSY - MPPT"
Assy - Shingled Matrix Panels,M10,2,12,N/A,"ASSY-boot, ASSY-MPPT, ASSY-MC4 Cabling"
ASSY - TAILLIGHT/INDICATOR EXTERIOR- LH,Sunswift ,0,3,N/A,N/A
ASSY - TAILLIGHT/INDICATOR EXTERIOR- RH,Sunswift ,0,3,N/A,N/A
ASSY - TAILLIGHT/INDICATOR PCB- LH,Sunswift,0,6,ASSY - TAILLIGHT/INDICATOR EXTERIOR- LH,N/A
ASSY - TAILLIGHT/INDICATOR PCB - RH,Sunswift,0,6,ASSY - TAILLIGHT/INDICATOR EXTERIOR- RH,N/A
ASSY - CENTRAL STOP LAMP,Sunswift ,0,3,ASSY - REAR BOOT,N/A
ASSY - CENTRAL STOP LAMP PCB,Sunswift,0,4,ASSY - CENTRAL STOP LAMP,N/A
ASSY - HEADLIGHT EXTERIOR - LH,Sunswift ,0,3,N/A,N/A
ASSY - HEADLIGHT EXTERIOR - RH,Sunswift ,0,3,N/A,N/A
ASSY - HEADLIGHT/INDICATOR PCB - LH,Sunswift,0,2,N/A,ASSY - HEADLIGHT EXTERIOR - LH
ASSY - HEADLIGHT/INDICATOR PCB - RH,Sunswift,0,2,N/A,ASSY - HEADLIGHT EXTERIOR - RH
ASSY - SIDE INDICATOR EXTERIOR - LH,Sunswift ,0,3,N/A,N/A
ASSY - SIDE INDICATOR EXTERIOR - RH,Sunswift ,0,3,N/A,N/A
ASSY - HORN,Sunswift,0,1,The purchase of said horn,N/A
ASSY-  HORN PCB,Sunswift,0,2,ASSY-  HORN PCB,N/A
ASSY - DRIVE CONTROL UNIT,Sunswift,0,12,"ASSY - MOTOR UNIT - LH, ASSY - MOTOR UNIT - RH",N/A
ASSY - SENSOR MOTHERBOARD - FL,Sunswift,0,12,N/A,N/A
ASSY -  SENSOR MOTHERBOARD- FR,Sunswift,0,12,N/A,N/A
ASSY - SENSOR MOTHERBOARD - BL,Sunswift,0,12,N/A,N/A
ASSY -  SENSOR MOTHERBOARD- BR,Sunswift,0,12,N/A,N/A
ASSY - FATIGUE MONITORING SYSTEM,Sunswift,0,0,ASSY - OCCUPANT CELL TUB,N/A
ASSY - BLINDSPOT MONOTORING SENSOR -  LH,Sunswift,0,4,"ASSY - SIDE CAMERA - LH, ASSY - SENSOR MOTHERBOARD - FL
ASSY -  SENSOR MOTHERBOARD- FR
ASSY - SENSOR MOTHERBOARD - BL
ASSY -  SENSOR MOTHERBOARD- BRRA - LH",N/A
ASSY - BLINDSPOT MONOTORING SENSOR -  RH,Sunswift,0,4,"ASSY - SIDE CAMERA - RH, ASSY - SENSOR MOTHERBOARD - FL
ASSY -  SENSOR MOTHERBOARD- FR
ASSY - SENSOR MOTHERBOARD - BL
ASSY -  SENSOR MOTHERBOARD- BR",N/A
ASSY - C-V2V ANTENNA,Sunswift,0,3,N/A,N/A
ASSY - C-V2X PCB,Sunswift,0,8,N/A,N/A
ASSY - SUBWOOFER,Sunswift,0,0,ASSY - OCCUPANT CELL TUB,N/A
ASSY - AUDIO CONTROL SYSTEM,Sunswift,0,0,"ASSY - DOOR AUDIO - LH,
ASSY - DOOR AUDIO - RH,
ASSY - SUBWOOFER",N/A
ASSY - PRESSURE VESSEL SHELL,"Coregas, Swagelok",6,0,ASSY - PRESSURE VESSEL SUPPORT STRUCTURE  ,"ASSY - HYDROGEN COMPARTMENT STRUCTURE, ASSY - PRESSURE REGULATION & SAFETY"
ASSY - PRESSURE VESSEL SUPPORT STRUCTURE,Sunswift,0,0,ASSY - PRESSURE VESSEL SHELL,"ASSY - HYDROGEN COMPARTMENT STRUCTURE, ASSY - PRESSURE REGULATION & SAFETY, ASSY - REAR FLOOR, ASSY - OCCUPANT CELL TUB  "
ASSY - HYDROGEN COMPARTMENT STRUCTURE,Sunswift,0,0,"ASSY - PRESSURE VESSEL SHELL, ASSY - PRESSURE VESSEL SUPPORT STRUCTURE  ","ASSY - HYDROGEN COMPARTMENT VENTILATION, ASSY - OCCUPANT CELL HYDROGEN SENSOR, ASSY - FUEL CELL STACK"
ASSY - PRESSURE REGULATION & SAFETY,Swagelok ,12,0,"ASSY - PRESSURE VESSEL SHELL, ASSY - PRESSURE VESSEL SUPPORT STRUCTURE  ","ASSY - HYDROGEN SUPPLY LINE, ASSY - HYDROGEN SENSOR ARRAY, ASSY - P&ID HYDROGEN DOWNSTREAM LINE"
ASSY - PRESSURE MONITORING AND CONTROL,Sunswift,0,0,N/A,N/A
ASSY - SAFETY VALVE,Sunswift,0,0,N/A,N/A
ASSY - HYDROGEN SUPPLY LINE,"Swagelok	",6,0,ASSY - PRESSURE REGULATION & SAFETY  ,"ASSY - PURGE MANAGEMENT, ASSY - SENSOR ARRAY, ASSY - FUEL CELL STACK"
ASSY - HYDROGEN PURGE MANAGEMENT,"Siltrax, Swagelok	",6,0,"ASSY - FUEL CELL STACK, ASSY - HYDROGEN SUPPLY LINE  ",ASSY - P&ID HYDROGEN RECYCLE STREAM
ASSY - HYDROGEN COMPARTMENT VENTILATION,Sunswift,0,0,ASSY - HYDROGEN COMPARTMENT STRUCTURE  ,"ASSY - P&ID AIR SUPPLY LINE, ASSY - REARWHEEL HUB AIR INTAKE"
ASSY- OCCUPANT CELL HYDROGEN SENSOR,External Supplier (TBA),10,0,N/A,"ASSY - HYDROGEN COMPARTMENT STRUCTURE  , ASSY - OCCUPANT CELL SHUTDOWN VALVE, ASSY - FUEL CELL ELECTRICAL CONNECTIONS"
ASSY- P&ID HYDROGEN RECYCLE STREAM,Siltrax,6,0,"ASSY - HYDROGEN PURGE MANAGEMENT, ASSY - FUEL CELL STACK  ",ASSY - HYDROGEN SENSOR ARRAY
ASSY - HYDROGEN SYSTEM PERFORMANCE DISPLAY ,Sunswift,0,0,"ASSY - FC ELECTRICAL CONNECTIONS, ASSY - HYDROGEN SENSOR ARRAY  ",N/A
ASSY- OCCUPANT CELL SHUTDOWN VALVE,Swagelok,6,0,"ASSY - OCCUPANT CELL HYDROGEN SENSOR, ASSY - HYDROGEN CONTROL LOGIC  ",N/A
ASSY - HYDROGEN SENSOR ARRAY,External Supplier (TBA),10,0,"ASSY - HYDROGEN SUPPLY LINE, ASSY - PRESSURE REGULATION & SAFETY, ASSY - FUEL CELL STACK  ","ASSY - HYDROGEN CONTROL LOGIC, ASSY - HYDROGEN SYSTEM PERFORMANCE DISPLAY"
ASSY - HYDROGEN CONTROL LOGIC,External Supplier (TBA),16,0,"ASSY - HYDROGEN SENSOR ARRAY, ASSY - FUEL CELL STACK, ASSY - HYDROGEN CONTROL SYSTEM  ",N/A
